customer_id,customer_name,segment,zip_code,region,country,city,state,contact_number
AA-10315,Alex Avila,Consumer,55407,Central,United States,minneapolis,minnesota,582-262-8228
AA-10375,Allen Armold,Consumer,94109,West,United States,san francisco,california,505-671-1025
AA-10480,Andrew Allen,Consumer,94122,West,United States,san francisco,california,248-294-9683
AA-10645,Anna Andreadi,Consumer,78664,Central,United States,round rock,texas,582-282-8675
AB-10015,Aaron Bergman,Consumer,10011,East,United States,new york city,new york,505-559-3741
AB-10105,Adrian Barton,Consumer,68104,Central,United States,omaha,nebraska,734-475-9974
AB-10150,Aimee Bixby,Consumer,90008,West,United States,los angeles,california,582-333-9897
AB-10165,Alan Barnes,Consumer,97301,West,United States,salem,oregon,212-873-1841
AC-10450,Amy Cox,Consumer,10035,East,United States,new york city,new york,208-806-6664
AC-10660,Anna Chung,Consumer,28027,South,United States,concord,north carolina,407-760-2507
AF-10870,Art Ferguson,Consumer,65807,Central,United States,springfield,missouri,408-719-1956
AF-10885,Art Foster,Consumer,48234,Central,United States,detroit,michigan,239-578-6393
AG-10270,Alejandro Grove,Consumer,19013,East,United States,chester,pennsylvania,423-923-8605
AG-10330,Alex Grayson,Consumer,40324,South,United States,georgetown,kentucky,582-222-6780
AG-10390,Allen Goldenen,Consumer,92105,West,United States,san diego,california,401-612-9626
AG-10675,Anna Gayman,Consumer,98103,West,United States,seattle,washington,407-834-8572
AG-10900,Arthur Gainer,Consumer,73120,Central,United States,oklahoma city,oklahoma,223-492-7085
AH-10210,Alan Hwang,Consumer,90004,West,United States,los angeles,california,409-819-3331
AH-10465,Amy Hunt,Consumer,98198,West,United States,des moines,washington,312-634-8792
AH-10585,Angele Hood,Consumer,98105,West,United States,seattle,washington,408-330-6850
AI-10855,Arianne Irving,Consumer,85023,West,United States,phoenix,arizona,209-976-2533
AJ-10945,Ashley Jarboe,Consumer,46203,Central,United States,indianapolis,indiana,582-282-8600
AJ-10960,Astrea Jones,Consumer,97206,West,United States,portland,oregon,215-431-3181
AM-10705,Anne McFarland,Consumer,48205,Central,United States,detroit,michigan,305-733-1872
AP-10915,Arthur Prichep,Consumer,11561,East,United States,long beach,new york,301-739-2829
AR-10510,Andrew Roberts,Consumer,75220,Central,United States,dallas,texas,240-312-5235
AR-10540,Andy Reiter,Consumer,10701,East,United States,yonkers,new york,231-463-1551
AR-10570,Anemone Ratner,Consumer,90036,West,United States,los angeles,calfornia,505-316-2979
AS-10090,Adam Shillingsburg,Consumer,90045,West,United States,los angeles,calfornia,582-282-2055
AS-10240,Alan Shonely,Consumer,80027,West,United States,louisville,colorado,202-679-2697
AT-10735,Annie Thurman,Consumer,88220,West,United States,carlsbad,new mexico,582-529-4810
AW-10840,Anthony Witt,Consumer,19134,East,United States,philadelphia,pennsylvania,336-764-8546
AZ-10750,Annie Zypern,Consumer,98103,West,United States,seattle,washington,321-955-5655
BD-11320,Bill Donatelli,Consumer,60623,Central,United States,chicago,illinois,219-953-8492
BD-11500,Bradley Drucker,Consumer,90004,West,United States,los angeles,calfornia,520-742-9244
BD-11605,Brian Dahlen,Consumer,94122,West,United States,san francisco,calfornia,582-262-5285
BD-11620,Brian DeCherney,Consumer,77041,Central,United States,houston,texas,315-888-6349
BD-11635,Brian Derr,Consumer,19120,East,United States,philadelphia,pennsylvania,+1 582-300-5006
BD-11725,Bruce Degenhardt,Consumer,55407,Central,United States,minneapolis,minnesota,+1 215-451-5896
BD-11770,Bryan Davis,Consumer,10011,East,United States,new york city,new york,+1 215-570-3208
BE-11410,Bobby Elias,Consumer,98105,West,United States,seattle,washington,+1 216-900-5639
BF-11080,Bart Folk,Consumer,14609,East,United States,rochester,new york,+1 405-397-4268
BG-11035,Barry Gonzalez,Consumer,77340,Central,United States,huntsville,texas,+1 309-992-9173
BG-11740,Bruce Geld,Consumer,94109,West,United States,san francisco,calfornia,+1 582-201-8921
BH-11710,Brosina Hoffman,Consumer,46226,Central,United States,lawrence,indiana,+1 623-745-3788
BK-11260,Berenike Kampe,Consumer,77041,Central,United States,houston,texas,+1 706-429-7257
BM-11140,Becky Martin,Consumer,59405,West,United States,great falls,montana,+1 505-633-4581
BM-11785,Bryan Mills,Consumer,10701,East,United States,yonkers,new york,+1 582-400-3780
BN-11515,Bradley Nguyen,Consumer,94122,West,United States,san francisco,calfornia,+1 223-719-9436
BO-11425,Bobby Odegard,Consumer,77840,Central,United States,college station,texas,+1 582-200-5409
BP-11155,Becky Pak,Consumer,33030,South,United States,homestead,florida,+1 582-482-5906
BP-11230,Benjamin Patterson,Consumer,92672,West,United States,san clemente,    calfornia,+1 315-621-9072
BP-11290,Beth Paige,Consumer,40214,South,United States,louisville,kentucky,+1 582-333-8879
BS-11665,Brian Stugart,Consumer,84084,West,United States,west jordan,utah,+1 206-340-0157
BS-11755,Bruce Stewart,Consumer,19120,East,United States,philadelphia,pennsylvania,+1 505-941-1603
BT-11440,Bobby Trafton,Consumer,90049,West,United States,los angeles,    calfornia,+1 219-724-3328
BT-11680,Brian Thompson,Consumer,89115,West,United States,las vegas,nevada,+1 505-731-8269
BW-11065,Barry Weirich,Consumer,74133,Central,United States,tulsa,oklahoma,+1 205-304-1795
BW-11200,Ben Wallace,Consumer,85204,West,United States,mesa,arizona,+1 239-454-1105
